Factor,Coef_A+,P_Value_A+,Bonf_Tier_A+,Coef_B+,P_Value_B+,Bonf_Tier_B+
Factor_26,0.6556283340214748,3.816946758661288e-13,STRONG,0.46729297850170437,8.197545087185176e-09,STRONG
Factor_5,0.4638623126578588,0.0,STRONG,0.3201236567490864,0.0,STRONG
Factor_4,-0.44964252124897075,0.0,STRONG,-0.2871483619633861,9.752176843846883e-11,STRONG
Factor_28,-0.4416563317373212,0.0,STRONG,-0.202217383402011,3.924854347303608e-06,STRONG
Factor_1,0.4242515685692678,6.661338147750939e-16,STRONG,0.19968563668536077,5.697974146956497e-06,STRONG
Factor_11,0.300185829383925,1.4323431329898995e-11,STRONG,0.12431485916454182,0.0007739155573676104,STRONG
Factor_3,0.2946426546584545,0.0005744602835493495,STRONG,0.31255990838508785,5.4308679802383963e-05,STRONG
Factor_6,0.23731413282693858,4.164906413084424e-07,STRONG,0.171267306989357,1.310979911273158e-05,STRONG
Factor_23,0.2277903667303984,2.4098507633851796e-09,STRONG,0.07602992345502319,0.021669540654030373,SUGGESTIVE
Factor_27,-0.22232135242835738,1.5159052921820404e-06,STRONG,-0.038296736334810344,0.3727140567979399,WEAK
Factor_7,0.21070531400805304,3.2044367159755893e-10,STRONG,0.12339937017026514,1.6243734843657265e-05,STRONG
Factor_0,0.20954589586872796,1.3272946493003701e-06,STRONG,0.11471904669594246,0.001857823712624329,SUGGESTIVE
Factor_21,0.18960194757652193,5.900236323408414e-05,STRONG,0.17634415399451653,8.291382490366317e-06,STRONG
Factor_24,0.18718462448221018,1.5691603327816495e-07,STRONG,0.1615806793897503,2.0029880909433473e-07,STRONG
Factor_17,-0.17551653551929863,3.206427216562169e-05,STRONG,-0.1329587785155808,0.00025127210143360834,STRONG
Factor_15,0.1626048305820822,1.9130937056743846e-07,STRONG,0.15358531158290467,2.0784112875205096e-08,STRONG
Factor_25,0.1463723462688178,0.0003282672414024468,STRONG,0.07574215072700707,0.03302822663300464,SUGGESTIVE
Factor_16,-0.13294165819715098,0.07308860764192548,WEAK,-0.03808208711158301,0.5750091594786517,WEAK
Factor_18,0.12153762861211881,0.00939615776598024,SUGGESTIVE,0.05715448825415881,0.19175132643323978,WEAK
Factor_10,0.103851932555308,0.04013978775691229,SUGGESTIVE,0.03921970316325285,0.3761383942205865,WEAK
Factor_2,-0.08938104455167517,0.03355148081965931,SUGGESTIVE,-0.046476874654442835,0.20504478927216518,WEAK
Factor_8,0.08797234675448662,0.015896236249972606,SUGGESTIVE,-0.012868152113752807,0.6630044282910834,WEAK
Factor_20,-0.05981704305964253,0.08872015978808023,WEAK,0.06956164932077824,0.025761484773812127,SUGGESTIVE
Factor_14,-0.059712885556097994,0.20392232991798753,WEAK,0.027037275809920103,0.5067520210415644,WEAK
Factor_9,-0.056120950156800964,0.20317893401482134,WEAK,-0.05929780607780577,0.11827700260920904,WEAK
Factor_22,0.044109151508201105,0.39761685110859113,WEAK,-0.1325787107921672,0.0036594080277250196,SUGGESTIVE
Factor_13,-0.028969144120981616,0.32953204581872364,WEAK,0.0012431680858462357,0.9611182334898223,WEAK
Factor_29,-0.01409317951939959,0.757756672469291,WEAK,0.008016159204837114,0.8337339499516538,WEAK
Factor_19,0.01309144263689696,0.7080815893516488,WEAK,-0.043261253980865666,0.14305475910837773,WEAK
Factor_12,0.008951377332728105,0.806864648546957,WEAK,-0.008382136264731166,0.7794712738353442,WEAK
