Factor,OLS_Coef,Ridge_Coef,Pct_Change,Direction_Match,Stability
Factor_16,-0.13294165819715098,-0.2251323035532802,69.34669433670786,YES,UNSTABLE
Factor_12,0.008951377332728105,0.011480618901948085,28.25533406990391,YES,STABLE
Factor_19,0.01309144263689696,0.010066123009012884,23.109138631960292,YES,STABLE
Factor_14,-0.059712885556097994,-0.07198290882054391,20.54836765997298,YES,STABLE
Factor_18,0.12153762861211881,0.13827080426429372,13.767897105823906,YES,STABLE
Factor_22,0.044109151508201105,0.049302209262305594,11.773198024765803,YES,STABLE
Factor_24,0.18718462448221018,0.20675971206093802,10.457636482096973,YES,STABLE
Factor_13,-0.028969144120981616,-0.03190816439773038,10.145347285631768,YES,STABLE
Factor_2,-0.08938104455167517,-0.0814365617256395,8.88833070354488,YES,STABLE
Factor_29,-0.01409317951939959,-0.012937168752673218,8.202625710792207,YES,STABLE
Factor_25,0.1463723462688178,0.1579398108148119,7.902766363224149,YES,STABLE
Factor_8,0.08797234675448662,0.09342619013248879,6.199497432099619,YES,STABLE
Factor_9,-0.056120950156800964,-0.05322584328246902,5.158691836547783,YES,STABLE
Factor_3,0.2946426546584545,0.30773598002084823,4.443798328375539,YES,STABLE
Factor_20,-0.05981704305964253,-0.06208590490549413,3.793002344815605,YES,STABLE
Factor_17,-0.17551653551929863,-0.1817047082380477,3.5256921522751163,YES,STABLE
Factor_10,0.103851932555308,0.10750200914727691,3.5146929885247924,YES,STABLE
Factor_15,0.1626048305820822,0.1672565701455027,2.8607634513491993,YES,STABLE
Factor_6,0.23731413282693858,0.24355599515832102,2.630210960058715,YES,STABLE
Factor_4,-0.44964252124897075,-0.4589158526041231,2.062378649019635,YES,STABLE
Factor_21,0.18960194757652193,0.19323981580659547,1.9186871635932512,YES,STABLE
Factor_28,-0.4416563317373212,-0.4498965421267746,1.8657516709970587,YES,STABLE
Factor_27,-0.22232135242835738,-0.21844749099729646,1.742460356932769,YES,STABLE
Factor_7,0.21070531400805304,0.21404444775676335,1.5847411179115731,YES,STABLE
Factor_1,0.4242515685692678,0.42990839433056705,1.3333659037198418,YES,STABLE
Factor_11,0.300185829383925,0.2969584774312341,1.075118022497747,YES,STABLE
Factor_26,0.6556283340214748,0.6596638621035565,0.6155206955942143,YES,STABLE
Factor_23,0.2277903667303984,0.22891164427625643,0.49224098540792066,YES,STABLE
Factor_0,0.20954589586872796,0.20901455830783117,0.2535661978460583,YES,STABLE
Factor_5,0.4638623126578588,0.4649230083535721,0.22866606464225211,YES,STABLE
